123,"James Hopes
Pune Warriors India",21,20,60,548,14,2/2,39.14,9.13,25.71,0,0
124,"Shalabh Srivastava
Kings XI Punjab",14,14,47,441,14,2/20,31.5,9.38,20.14,0,0
125,"Charl Langeveldt
Royal Challengers Bangalore",7,7,26,187,13,3/15,14.38,7.19,12,0,0
126,"Ramesh Powar
Kings XI Punjab",27,26,71,527,13,2/11,40.53,7.42,32.76,0,0
127,"Sanath Jayasuriya
Mumbai Indians",30,21,49,390,13,3/14,30,7.95,22.61,0,0
128,"Glenn McGrath
Delhi Daredevils",14,14,54,357,12,4/29,29.75,6.61,27,1,0
129,"Andrew Tye
Gujarat Lions",6,6,21,141,12,5/17,11.75,6.71,10.5,0,1
130,"Ankit Sharma
Rising Pune Supergiant",21,20,60.1,439,12,2/20,36.58,7.29,30.08,0,0
Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
131,"Ben Stokes
Rising Pune Supergiant",11,11,41,306,12,3/18,25.5,7.46,20.5,0,0
132,"Bhargav Bhatt
Kings XI Punjab",17,15,49.2,397,12,4/22,33.08,8.04,24.66,1,0
133,"Umar Gul
Kolkata Knight Riders",6,6,22.3,184,12,4/23,15.33,8.17,11.25,1,0
134,"Trent Boult
Kolkata Knight Riders",12,12,47.5,431,12,3/19,35.91,9.01,23.91,0,0
135,"VRV Singh
Kings XI Punjab",19,18,60,542,12,3/29,45.16,9.03,30,0,0
136,"Ryan McLaren
Kolkata Knight Riders",18,18,59,542,12,2/28,45.16,9.18,29.5,0,0
137,"Karanveer Singh
Kings XI Punjab",9,9,34,321,12,4/54,26.75,9.44,17,1,0
138,"Joginder Sharma
Chennai Super Kings",16,15,42.4,419,12,2/27,34.91,9.82,21.33,0,0
139,"Ajit Chandila
Rajasthan Royals",12,12,39,242,11,4/13,22,6.2,21.27,1,0
140,"Shaun Pollock
Mumbai Indians",13,13,46,301,11,3/12,27.36,6.54,25.09,0,0
Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
141,"Samuel Badree
Royal Challengers Bangalore",12,12,43,319,11,4/9,29,7.41,23.45,1,0
142,"Andrew McDonald
Royal Challengers Bangalore",11,10,31,261,11,2/25,23.72,8.41,16.9,0,0
143,"Ravi Bopara
Sunrisers Hyderabad",24,14,34.2,292,11,3/31,26.54,8.5,18.72,0,0
144,"Darren Sammy
Kings XI Punjab",22,19,39.2,350,11,4/22,31.81,8.89,21.45,1,0
145,"Glenn Maxwell
Kings XI Punjab",56,32,52,464,11,2/15,42.18,8.92,28.36,0,0
146,"Chris Jordan
Sunrisers Hyderabad",9,9,28,258,11,4/11,23.45,9.21,15.27,1,0
147,"Pankaj Singh
Rajasthan Royals",20,17,50,468,11,2/18,42.54,9.36,27.27,0,0
148,"Basil Thampi
Gujarat Lions",12,12,44.4,424,11,3/29,38.54,9.49,24.36,0,0
149,"Sourav Ganguly
Pune Warriors India",59,20,46,363,10,2/21,36.3,7.89,27.6,0,0
150,"Veer Pratap Singh
Kolkata Knight Riders",9,9,34,296,10,2/31,29.6,8.7,20.4,0,0
Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
151,"Jagadeesha Suchith
Mumbai Indians",14,13,41,368,10,2/14,36.8,8.97,24.6,0,0
152,"Marcus Stoinis
Kings XI Punjab",12,12,33.3,304,10,4/15,30.4,9.07,20.1,1,0
153,"Sachithra Senanayake
Kolkata Knight Riders",8,8,32,209,9,2/26,23.22,6.53,21.33,0,0
154,"Ali Murtaza
Pune Warriors India",12,12,44,313,9,3/15,34.77,7.11,29.33,0,0
155,"Shane Bond
Kolkata Knight Riders",8,8,31,224,9,2/24,24.88,7.22,20.66,0,0
156,"Shahid Afridi
Deccan Chargers",10,10,30,225,9,3/28,25,7.5,20,0,0
157,"Marlon Samuels
Delhi Daredevils",14,10,34.4,272,9,3/39,30.22,7.84,23.11,0,0
158,"KP Appanna
Royal Challengers Bangalore",14,13,36,286,9,4/19,31.77,7.94,24,1,0
159,"Juan Theron
Rajasthan Royals",10,10,36,293,9,2/17,32.55,8.13,24,0,0
160,"Kamran Khan
Pune Warriors India",9,9,26.4,224,9,3/18,24.88,8.4,17.77,0,0
Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
161,"Abhishek Nayar
Rajasthan Royals",60,19,38.1,322,9,3/13,35.77,8.43,25.44,0,0
162,"James Franklin
Mumbai Indians",20,15,25.1,220,9,2/18,24.44,8.74,16.77,0,0
163,"Jacob Oram
Mumbai Indians",18,13,37.3,336,9,3/32,37.33,8.96,25,0,0
164,"Beuran Hendricks
Kings XI Punjab",7,7,25,235,9,3/36,26.11,9.4,16.66,0,0
165,"Ajantha Mendis
Pune Warriors India",10,10,40,285,8,2/19,35.62,7.12,30,0,0
166,"T Thushara
Chennai Super Kings",6,6,22.3,161,8,2/16,20.12,7.15,16.87,0,0
167,"Scott Styris
Chennai Super Kings",12,11,36,276,8,3/32,34.5,7.66,27,0,0
168,"Jesse Ryder
Delhi Daredevils",29,16,39.2,303,8,2/14,37.87,7.7,29.5,0,0
169,"Ankeet Chavan
Rajasthan Royals",13,13,41.2,326,8,2/23,40.75,7.88,31,0,0
170,"Anand Rajan
Sunrisers Hyderabad",8,8,24.5,201,8,3/27,25.12,8.09,18.62,0,0
Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
171,"Carlos Brathwaite
Delhi Daredevils",10,10,29.1,256,8,3/47,32,8.77,21.87,0,0
172,"Syed Mohammad
Royal Challengers Bangalore",11,11,32,283,8,2/15,35.37,8.84,24,0,0
173,"David Hussey
Chennai Super Kings",64,26,52.5,474,8,2/2,59.25,8.97,39.62,0,0
174,"KC Cariappa
Kings XI Punjab",10,10,34,314,8,2/16,39.25,9.23,25.5,0,0
175,"Mohammad Asif
Delhi Daredevils",8,8,32,296,8,2/19,37,9.25,24,0,0
176,"Hardik Pandya
Mumbai Indians",33,28,53.4,501,8,1/7,62.62,9.33,40.25,0,0
177,"Corey Anderson
Delhi Daredevils",26,17,35.5,361,8,2/18,45.12,10.07,26.87,0,0
178,"Makhaya Ntini
Chennai Super Kings",9,9,35,242,7,4/21,34.57,6.91,30,1,0
179,"Kevin Pietersen
Rising Pune Supergiant",36,13,29,215,7,2/31,30.71,7.41,24.85,0,0
180,"Aavishkar Salvi
Delhi Daredevils",7,7,25,200,7,2/19,28.57,8,21.42,0,0
Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
181,"Shreyas Gopal
Mumbai Indians",6,6,19.1,154,7,2/25,22,8.03,16.42,0,0
182,"Paul Valthaty
Kings XI Punjab",23,10,25.1,205,7,4/29,29.28,8.14,21.57,1,0
183,"Ben Cutting
Sunrisers Hyderabad",9,9,27.5,234,7,2/20,33.42,8.4,23.85,0,0
184,"Murugan Ashwin
Delhi Daredevils",10,10,28.3,241,7,3/36,34.42,8.45,24.42,0,0
185,"Ankit Rajpoot
Kolkata Knight Riders",9,9,25,212,7,3/37,30.28,8.48,21.42,0,0
186,"Abu Nechim
Royal Challengers Bangalore",10,10,35.2,303,7,2/27,43.28,8.57,30.28,0,0
187,"Abhimanyu Mithun
Sunrisers Hyderabad",16,16,48,472,7,2/37,67.42,9.83,41.14,0,0
188,"P Amarnath
Chennai Super Kings",6,6,22,236,7,2/29,33.71,10.72,18.85,0,0
189,"Rahul Tewatia
Kings XI Punjab",6,6,18,125,6,2/18,20.83,6.94,18,0,0
190,"Vikramjeet Malik
Royal Challengers Bangalore",13,13,34.1,261,6,2/14,43.5,7.63,34.16,0,0
Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
191,"Suraj Randiv
Chennai Super Kings",8,8,29,223,6,2/24,37.16,7.68,29,0,0
192,"Balachandra Akhil
Kochi Tuskers Kerala",15,13,31.2,242,6,2/17,40.33,7.72,31.33,0,0
193,"Tirumalasetti Suman
Sunrisers Hyderabad",43,11,25,197,6,2/14,32.83,7.88,25,0,0
194,"Deepak Hooda
Sunrisers Hyderabad",40,16,32.1,268,6,2/16,44.66,8.33,32.16,0,0
195,"Sudeep Tyagi
Sunrisers Hyderabad",14,14,34.5,295,6,2/18,49.16,8.46,34.83,0,0
196,"Shivil Kaushik
Gujarat Lions",10,10,34,297,6,3/20,49.5,8.73,34,0,0
197,"Kagiso Rabada
Delhi Daredevils",6,6,21.2,188,6,2/20,31.33,8.81,21.33,0,0
198,"RR Raje
Mumbai Indians",10,10,23.1,209,6,2/16,34.83,9.02,23.16,0,0
199,"Shardul Thakur
Rising Pune Supergiant",10,10,31.1,290,6,3/35,48.33,9.3,31.16,0,0
200,"Venugopal Rao
Sunrisers Hyderabad",65,20,36,337,6,2/23,56.16,9.36,36,0,0
Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
201,"Mohammed Siraj
Sunrisers Hyderabad",5,5,19,180,6,2/26,30,9.47,19,0,0
202,"Jaskaran Singh
Rising Pune Supergiant",8,7,17,171,6,2/18,28.5,10.05,17,0,0
203,"Virender Sehwag
Kings XI Punjab",104,15,22.4,235,6,2/18,39.16,10.36,22.66,0,0
204,"Paul Collingwood
Rajasthan Royals",8,6,14.5,101,5,2/19,20.2,6.8,17.8,0,0
205,"Nuwan Kulasekara
Chennai Super Kings",6,5,17,120,5,2/10,24,7.05,20.4,0,0
206,"Washington Sundar
Rising Pune Supergiant",8,8,22,156,5,2/18,31.2,7.09,26.4,0,0
207,"Gurkeerat Mann Singh
Kings XI Punjab",30,6,13,97,5,2/15,19.4,7.46,15.6,0,0
208,"Shoaib Akhtar
Kolkata Knight Riders",3,3,7,54,5,4/11,10.8,7.71,8.4,1,0
209,"Shrikant Wagh
Pune Warriors India",8,8,17,137,5,3/16,27.4,8.05,20.4,0,0
210,"Raiphi Gomez
Pune Warriors India",13,9,16,129,5,2/14,25.8,8.06,19.2,0,0
Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
211,"Tillakaratne Dilshan
Royal Challengers Bangalore",52,25,45.1,366,5,1/7,73.2,8.1,54.2,0,0
212,"Jason Holder
Kolkata Knight Riders",11,11,36,306,5,2/20,61.2,8.5,43.2,0,0
213,"Aniket Choudhary
Royal Challengers Bangalore",5,5,16.5,144,5,2/17,28.8,8.55,20.2,0,0
214,"Tymal Mills
Royal Challengers Bangalore",5,5,17.5,153,5,2/31,30.6,8.57,21.4,0,0
215,"Marchant de Lange
Mumbai Indians",5,5,18,169,5,3/34,33.8,9.38,21.6,0,0
216,"Sarabjit Ladda
Gujarat Lions",9,9,23,224,5,2/44,44.8,9.73,27.6,0,0
217,"Aditya Dole
Rajasthan Royals",3,3,11,112,5,2/36,22.4,10.18,13.2,0,0
218,"Rahul Shukla
Delhi Daredevils",7,7,20,208,5,2/28,41.6,10.4,24,0,0
219,"Sumit Narwal
Kolkata Knight Riders",7,6,17.4,202,5,3/36,40.4,11.43,21.2,0,0
220,"Jayant Yadav
Delhi Daredevils",10,10,30,196,4,1/8,49,6.53,45,0,0
Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
221,"Domnic Joseph
Delhi Daredevils",6,6,14,101,4,2/18,25.25,7.21,21,0,0
222,"DP Vijaykumar
Deccan Chargers",9,9,25.2,199,4,1/17,49.75,7.85,38,0,0
223,"D du Preez
Royal Challengers Bangalore",2,2,7,56,4,3/32,14,8,10.5,0,0
224,"WA Mota
Kings XI Punjab",12,7,12,97,4,1/6,24.25,8.08,18,0,0
225,"Parveez Rasool
Royal Challengers Bangalore",11,11,33,271,4,1/20,67.75,8.21,49.5,0,0
226,"Shikhar Dhawan
Sunrisers Hyderabad",125,6,8,66,4,1/7,16.5,8.25,12,0,0
227,"Colin de Grandhomme
Kolkata Knight Riders",10,8,14,119,4,3/4,29.75,8.5,21,0,0
228,"Shivam Sharma
Kings XI Punjab",5,5,19,165,4,2/26,41.25,8.68,28.5,0,0
229,"P Parameswaran
Royal Challengers Bangalore",5,5,15.4,137,4,2/20,34.25,8.74,23.5,0,0
230,"SB Bangar
Deccan Chargers",12,9,25,219,4,2/34,54.75,8.76,37.5,0,0
Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
231,"Virat Kohli
Royal Challengers Bangalore",148,26,41.5,368,4,2/25,92,8.79,62.75,0,0
232,"Adam Milne
Royal Challengers Bangalore",5,5,18,177,4,2/27,44.25,9.83,27,0,0
233,"Yogesh Nagar
Delhi Daredevils",26,8,11,125,4,2/20,31.25,11.36,16.5,0,0
234,"Dominic Thornely
Mumbai Indians",6,4,7,40,3,2/7,13.33,5.71,14,0,0
235,"John Hastings
Kolkata Knight Riders",3,3,9.4,66,3,2/6,22,6.82,19.33,0,0
236,"SM Harwood
Rajasthan Royals",3,3,10,73,3,2/25,24.33,7.3,20,0,0
237,"JM Kemp
Chennai Super Kings",5,5,7.2,54,3,3/12,18,7.36,14.66,0,0
238,"Ashok Menaria
Rajasthan Royals",29,12,18.2,144,3,2/20,48,7.85,36.66,0,0
